"DefinitionName","元件显示名称","元件分类","supportLevel","showInPalette","是否参与运行时仿真","是否参与参数估算","terminalId","端子显示标签","端子类型","端子功能","功能来源","常开常闭或普通","属性来源","主控制测量分类","分类来源","端子方向或画面位置","Visual Prefab 是否存在","Runtime Visual Catalog 是否存在","被哪些模板使用","备注"
"PLC_Output_24V","PLC输出模块
(24V)","Industrial","VisualOnly","否","否","否","COM0","COM","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧上方（normalizedPosition=1,0.75；原始坐标）","否","是","未被 18 张标准模板使用","当前隐藏；不参与运行时仿真"
"PLC_Output_24V","PLC输出模块
(24V)","Industrial","VisualOnly","否","否","否","Y1","Y1","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧中部（normalizedPosition=0,0.5；原始坐标）","否","是","未被 18 张标准模板使用","当前隐藏；不参与运行时仿真"
"PLC_Output_24V","PLC输出模块
(24V)","Industrial","VisualOnly","否","否","否","COM1","COM","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=1,0.5；原始坐标）","否","是","未被 18 张标准模板使用","当前隐藏；不参与运行时仿真"
"PLC_Output_24V","PLC输出模块
(24V)","Industrial","VisualOnly","否","否","否","Y2","Y2","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧下方（normalizedPosition=0,0.25；原始坐标）","否","是","未被 18 张标准模板使用","当前隐藏；不参与运行时仿真"
"PLC_Output_24V","PLC输出模块
(24V)","Industrial","VisualOnly","否","否","否","COM2","COM","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧下方（normalizedPosition=1,0.25；原始坐标）","否","是","未被 18 张标准模板使用","当前隐藏；不参与运行时仿真"
"AC_ThreePhase_Power","三相交流电源","Industrial","ParameterCalculationSupported","是","是","是","L1","L1","Phase","Phase","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧中部（normalizedPosition=0.1,0.35；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"AC_ThreePhase_Power","三相交流电源","Industrial","ParameterCalculationSupported","是","是","是","L2","L2","Phase","Phase","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.3,0.35；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"AC_ThreePhase_Power","三相交流电源","Industrial","ParameterCalculationSupported","是","是","是","L3","L3","Phase","Phase","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间中部（normalizedPosition=0.5,0.35；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"AC_ThreePhase_Power","三相交流电源","Industrial","ParameterCalculationSupported","是","是","是","N","N","Neutral","Neutral","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","未自动判定","项目未提供回路分类字段","中间中部（normalizedPosition=0.7,0.35；原始坐标）","是","是","未被 18 张标准模板使用",""
"AC_ThreePhase_Power","三相交流电源","Industrial","ParameterCalculationSupported","是","是","是","PE","PE","ProtectiveEarth","ProtectiveEarth","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","测量端子","根据元件分类和 terminalId 推导","右侧中部（normalizedPosition=0.9,0.35；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Motor_ThreePhase_380V","三相异步电动机
(380V)","Industrial","ParameterCalculationSupported","是","是","是","U","U","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧上方（normalizedPosition=0.88,0.78；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_thermal_protection",""
"Motor_ThreePhase_380V","三相异步电动机
(380V)","Industrial","ParameterCalculationSupported","是","是","是","V","V","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=0.88,0.55；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_thermal_protection",""
"Motor_ThreePhase_380V","三相异步电动机
(380V)","Industrial","ParameterCalculationSupported","是","是","是","W","W","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=0.88,0.32；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_thermal_protection",""
"Motor_ThreePhase_380V","三相异步电动机
(380V)","Industrial","ParameterCalculationSupported","是","是","是","PE","PE","ProtectiveEarth","ProtectiveEarth","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","测量端子","根据元件分类和 terminalId 推导","右侧下方（normalizedPosition=1,0.08；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_thermal_protection",""
"Contactor_KM_220V","交流接触器(KM)
(220V)","Industrial","ParameterCalculationSupported","是","是","是","L1","1/L1","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧上方（normalizedPosition=0.18,1；原始坐标）","是","是","未被 18 张标准模板使用",""
"Contactor_KM_220V","交流接触器(KM)
(220V)","Industrial","ParameterCalculationSupported","是","是","是","T1","2/T1","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧下方（normalizedPosition=0.18,0；原始坐标）","是","是","未被 18 张标准模板使用",""
"Contactor_KM_220V","交流接触器(KM)
(220V)","Industrial","ParameterCalculationSupported","是","是","是","L2","3/L2","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间上方（normalizedPosition=0.5,1；原始坐标）","是","是","未被 18 张标准模板使用",""
"Contactor_KM_220V","交流接触器(KM)
(220V)","Industrial","ParameterCalculationSupported","是","是","是","T2","4/T2","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.5,0；原始坐标）","是","是","未被 18 张标准模板使用",""
"Contactor_KM_220V","交流接触器(KM)
(220V)","Industrial","ParameterCalculationSupported","是","是","是","L3","5/L3","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧上方（normalizedPosition=0.82,1；原始坐标）","是","是","未被 18 张标准模板使用",""
"Contactor_KM_220V","交流接触器(KM)
(220V)","Industrial","ParameterCalculationSupported","是","是","是","T3","6/T3","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧下方（normalizedPosition=0.82,0；原始坐标）","是","是","未被 18 张标准模板使用",""
"Contactor_KM_220V","交流接触器(KM)
(220V)","Industrial","ParameterCalculationSupported","是","是","是","A1","A1","CoilA1","CoilA1","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","控制回路","根据 TerminalRole 推导","左侧中部（normalizedPosition=0,0.68；原始坐标）","是","是","未被 18 张标准模板使用",""
"Contactor_KM_220V","交流接触器(KM)
(220V)","Industrial","ParameterCalculationSupported","是","是","是","A2","A2","CoilA2","CoilA2","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","控制回路","根据 TerminalRole 推导","右侧中部（normalizedPosition=1,0.68；原始坐标）","是","是","未被 18 张标准模板使用",""
"Contactor_KM_220V","交流接触器(KM)
(220V)","Industrial","ParameterCalculationSupported","是","是","是","13","13","Input","Input","TerminalRole 原始字段","常开触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","左侧中部（normalizedPosition=0,0.42；原始坐标）","是","是","未被 18 张标准模板使用",""
"Contactor_KM_220V","交流接触器(KM)
(220V)","Industrial","ParameterCalculationSupported","是","是","是","14","14","Output","Output","TerminalRole 原始字段","常开触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=1,0.42；原始坐标）","是","是","未被 18 张标准模板使用",""
"Contactor_KM_220V","交流接触器(KM)
(220V)","Industrial","ParameterCalculationSupported","是","是","是","21","21","Input","Input","TerminalRole 原始字段","常闭触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","左侧下方（normalizedPosition=0,0.22；原始坐标）","是","是","未被 18 张标准模板使用",""
"Contactor_KM_220V","交流接触器(KM)
(220V)","Industrial","ParameterCalculationSupported","是","是","是","22","22","Output","Output","TerminalRole 原始字段","常闭触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","右侧下方（normalizedPosition=1,0.22；原始坐标）","是","是","未被 18 张标准模板使用",""
"Contactor_KM_380V","交流接触器(KM)
(380V)","Industrial","ParameterCalculationSupported","是","是","是","L1","1/L1","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧上方（normalizedPosition=0.18,1；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Contactor_KM_380V","交流接触器(KM)
(380V)","Industrial","ParameterCalculationSupported","是","是","是","T1","2/T1","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧下方（normalizedPosition=0.18,0；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Contactor_KM_380V","交流接触器(KM)
(380V)","Industrial","ParameterCalculationSupported","是","是","是","L2","3/L2","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间上方（normalizedPosition=0.5,1；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Contactor_KM_380V","交流接触器(KM)
(380V)","Industrial","ParameterCalculationSupported","是","是","是","T2","4/T2","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.5,0；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Contactor_KM_380V","交流接触器(KM)
(380V)","Industrial","ParameterCalculationSupported","是","是","是","L3","5/L3","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧上方（normalizedPosition=0.82,1；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Contactor_KM_380V","交流接触器(KM)
(380V)","Industrial","ParameterCalculationSupported","是","是","是","T3","6/T3","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧下方（normalizedPosition=0.82,0；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Contactor_KM_380V","交流接触器(KM)
(380V)","Industrial","ParameterCalculationSupported","是","是","是","A1","A1","CoilA1","CoilA1","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","控制回路","根据 TerminalRole 推导","左侧中部（normalizedPosition=0,0.68；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Contactor_KM_380V","交流接触器(KM)
(380V)","Industrial","ParameterCalculationSupported","是","是","是","A2","A2","CoilA2","CoilA2","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","控制回路","根据 TerminalRole 推导","右侧中部（normalizedPosition=1,0.68；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Contactor_KM_380V","交流接触器(KM)
(380V)","Industrial","ParameterCalculationSupported","是","是","是","13","13","Input","Input","TerminalRole 原始字段","常开触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","左侧中部（normalizedPosition=0,0.42；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Contactor_KM_380V","交流接触器(KM)
(380V)","Industrial","ParameterCalculationSupported","是","是","是","14","14","Output","Output","TerminalRole 原始字段","常开触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=1,0.42；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Contactor_KM_380V","交流接触器(KM)
(380V)","Industrial","ParameterCalculationSupported","是","是","是","21","21","Input","Input","TerminalRole 原始字段","常闭触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","左侧下方（normalizedPosition=0,0.22；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_star_delta_start",""
"Contactor_KM_380V","交流接触器(KM)
(380V)","Industrial","ParameterCalculationSupported","是","是","是","22","22","Output","Output","TerminalRole 原始字段","常闭触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","右侧下方（normalizedPosition=1,0.22；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_star_delta_start",""
"Button_Stop_NC","停止按钮(NC)","Industrial","RuntimeSupported","是","是","否","11","11","Input","Input","TerminalRole 原始字段","常闭触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","左侧中部（normalizedPosition=0,0.45；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Button_Stop_NC","停止按钮(NC)","Industrial","RuntimeSupported","是","是","否","12","12","Output","Output","TerminalRole 原始字段","常闭触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=1,0.45；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_double_interlock; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"KnifeSwitch_QS","刀开关(QS)","Industrial","RuntimeSupported","是","是","否","L1","L1","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧上方（normalizedPosition=0.2,1；原始坐标）","是","是","未被 18 张标准模板使用",""
"KnifeSwitch_QS","刀开关(QS)","Industrial","RuntimeSupported","是","是","否","T1","T1","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧下方（normalizedPosition=0.2,0；原始坐标）","是","是","未被 18 张标准模板使用",""
"KnifeSwitch_QS","刀开关(QS)","Industrial","RuntimeSupported","是","是","否","L2","L2","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间上方（normalizedPosition=0.5,1；原始坐标）","是","是","未被 18 张标准模板使用",""
"KnifeSwitch_QS","刀开关(QS)","Industrial","RuntimeSupported","是","是","否","T2","T2","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.5,0；原始坐标）","是","是","未被 18 张标准模板使用",""
"KnifeSwitch_QS","刀开关(QS)","Industrial","RuntimeSupported","是","是","否","L3","L3","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧上方（normalizedPosition=0.8,1；原始坐标）","是","是","未被 18 张标准模板使用",""
"KnifeSwitch_QS","刀开关(QS)","Industrial","RuntimeSupported","是","是","否","T3","T3","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧下方（normalizedPosition=0.8,0；原始坐标）","是","是","未被 18 张标准模板使用",""
"Button_Start_NO","启动按钮(NO)","Industrial","RuntimeSupported","是","是","否","23","23","Input","Input","TerminalRole 原始字段","常开触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","左侧中部（normalizedPosition=0,0.45；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Button_Start_NO","启动按钮(NO)","Industrial","RuntimeSupported","是","是","否","24","24","Output","Output","TerminalRole 原始字段","常开触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=1,0.45；原始坐标）","是","是","motor_auto_reciprocating_control; motor_forward_reverse_control; motor_forward_reverse_interlock; motor_jog_continuous; motor_jog_control; motor_self_hold_control; motor_sequential_start_timer; motor_star_delta_start; motor_thermal_protection",""
"Button_Compound_SB","复合按钮SB(红)","Industrial","RuntimeSupported","是","是","否","11","11","Input","Input","TerminalRole 原始字段","常闭触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","左侧中部（normalizedPosition=0,0.65；原始坐标）","是","是","motor_forward_reverse_double_interlock",""
"Button_Compound_SB","复合按钮SB(红)","Industrial","RuntimeSupported","是","是","否","12","12","Output","Output","TerminalRole 原始字段","常闭触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=1,0.65；原始坐标）","是","是","motor_forward_reverse_double_interlock",""
"Button_Compound_SB","复合按钮SB(红)","Industrial","RuntimeSupported","是","是","否","23","23","Input","Input","TerminalRole 原始字段","常开触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","左侧下方（normalizedPosition=0,0.25；原始坐标）","是","是","motor_forward_reverse_double_interlock",""
"Button_Compound_SB","复合按钮SB(红)","Industrial","RuntimeSupported","是","是","否","24","24","Output","Output","TerminalRole 原始字段","常开触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","右侧下方（normalizedPosition=1,0.25；原始坐标）","是","是","motor_forward_reverse_double_interlock",""
"Button_Compound_Green_SB","复合按钮SB(绿)","Industrial","RuntimeSupported","是","是","否","11","11","Input","Input","TerminalRole 原始字段","常闭触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","左侧中部（normalizedPosition=0,0.65；原始坐标）","是","是","motor_forward_reverse_double_interlock; motor_jog_continuous",""
"Button_Compound_Green_SB","复合按钮SB(绿)","Industrial","RuntimeSupported","是","是","否","12","12","Output","Output","TerminalRole 原始字段","常闭触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=1,0.65；原始坐标）","是","是","motor_forward_reverse_double_interlock; motor_jog_continuous",""
"Button_Compound_Green_SB","复合按钮SB(绿)","Industrial","RuntimeSupported","是","是","否","23","23","Input","Input","TerminalRole 原始字段","常开触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","左侧下方（normalizedPosition=0,0.25；原始坐标）","是","是","motor_forward_reverse_double_interlock; motor_jog_continuous",""
"Button_Compound_Green_SB","复合按钮SB(绿)","Industrial","RuntimeSupported","是","是","否","24","24","Output","Output","TerminalRole 原始字段","常开触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","右侧下方（normalizedPosition=1,0.25；原始坐标）","是","是","motor_forward_reverse_double_interlock; motor_jog_continuous",""
"SwitchPower_220V","开关电源
(220V)","Industrial","VisualOnly","否","否","否","L","L","Phase","Phase","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧下方（normalizedPosition=0.2,0；原始坐标）","否","是","未被 18 张标准模板使用","当前隐藏；不参与运行时仿真"
"SwitchPower_220V","开关电源
(220V)","Industrial","VisualOnly","否","否","否","N","N","Neutral","Neutral","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","未自动判定","项目未提供回路分类字段","中间下方（normalizedPosition=0.45,0；原始坐标）","否","是","未被 18 张标准模板使用","当前隐藏；不参与运行时仿真"
"SwitchPower_220V","开关电源
(220V)","Industrial","VisualOnly","否","否","否","24V","+","Phase","Phase","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧下方（normalizedPosition=0.75,0；原始坐标）","否","是","未被 18 张标准模板使用","当前隐藏；不参与运行时仿真"
"SwitchPower_220V","开关电源
(220V)","Industrial","VisualOnly","否","否","否","0V","-","Neutral","Neutral","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","未自动判定","项目未提供回路分类字段","右侧下方（normalizedPosition=0.95,0；原始坐标）","否","是","未被 18 张标准模板使用","当前隐藏；不参与运行时仿真"
"EmergencyStop_NC","急停按钮(NC)","Industrial","RuntimeSupported","是","是","否","11","11","Input","Input","TerminalRole 原始字段","常闭触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","左侧中部（normalizedPosition=0,0.45；原始坐标）","是","是","未被 18 张标准模板使用",""
"EmergencyStop_NC","急停按钮(NC)","Industrial","RuntimeSupported","是","是","否","12","12","Output","Output","TerminalRole 原始字段","常闭触点组","根据 terminalId 推导","主回路或供电端","根据 TerminalRole 推导","右侧中部（normalizedPosition=1,0.45；原始坐标）","是","是","未被 18 张标准模板使用",""
"Timer_OffDelay_220V","断电延时时间继电器(KT)
(220V)","Industrial","VisualOnly","否","否","否","A1","A1","CoilA1","CoilA1","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","控制回路","根据 TerminalRole 推导","左侧下方（normalizedPosition=0.15,0；原始坐标）","否","是","未被 18 张标准模板使用","当前隐藏；不参与运行时仿真"
"Timer_OffDelay_220V","断电延时时间继电器(KT)
(220V)","Industrial","VisualOnly","否","否","否","A2","A2","CoilA2","CoilA2","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","控制回路","根据 TerminalRole 推导","右侧下方（normalizedPosition=0.85,0；原始坐标）","否","是","未被 18 张标准模板使用","当前隐藏；不参与运行时仿真"
"Timer_OffDelay_380V","断电延时时间继电器(KT)
(380V)","Industrial","VisualOnly","否","否","否","A1","A1","CoilA1","CoilA1","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","控制回路","根据 TerminalRole 推导","左侧下方（normalizedPosition=0.15,0；原始坐标）","否","是","未被 18 张标准模板使用","当前隐藏；不参与运行时仿真"
"Timer_OffDelay_380V","断电延时时间继电器(KT)
(380V)","Industrial","VisualOnly","否","否","否","A2","A2","CoilA2","CoilA2","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","控制回路","根据 TerminalRole 推导","右侧下方（normalizedPosition=0.85,0；原始坐标）","否","是","未被 18 张标准模板使用","当前隐藏；不参与运行时仿真"
"Motor_StarDelta_380V","星三角电机
(380V)","Industrial","ParameterCalculationSupported","是","是","是","U1","U1","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧上方（normalizedPosition=0.2,1；原始坐标）","是","是","motor_star_delta_start",""
"Motor_StarDelta_380V","星三角电机
(380V)","Industrial","ParameterCalculationSupported","是","是","是","V1","V1","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间上方（normalizedPosition=0.5,1；原始坐标）","是","是","motor_star_delta_start",""
"Motor_StarDelta_380V","星三角电机
(380V)","Industrial","ParameterCalculationSupported","是","是","是","W1","W1","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧上方（normalizedPosition=0.8,1；原始坐标）","是","是","motor_star_delta_start",""
"Motor_StarDelta_380V","星三角电机
(380V)","Industrial","ParameterCalculationSupported","是","是","是","U2","U2","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧下方（normalizedPosition=0.2,0；原始坐标）","是","是","motor_star_delta_start",""
"Motor_StarDelta_380V","星三角电机
(380V)","Industrial","ParameterCalculationSupported","是","是","是","V2","V2","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.5,0；原始坐标）","是","是","motor_star_delta_start",""
"Motor_StarDelta_380V","星三角电机
(380V)","Industrial","ParameterCalculationSupported","是","是","是","W2","W2","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","右侧下方（normalizedPosition=0.8,0；原始坐标）","是","是","motor_star_delta_start",""
